
2024/10/05 (17:02:36) | ===> btop++ v.1.3.2
2024/10/05 (17:02:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/10/05 (17:04:53) | ===> btop++ v.1.3.2
2024/10/05 (17:04:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/10/05 (17:06:00) | ===> btop++ v.1.3.2
2024/10/05 (17:06:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/10/05 (17:06:06) | ===> btop++ v.1.3.2
2024/10/05 (17:06:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/10/05 (17:08:35) | ===> btop++ v.1.3.2
2024/10/05 (17:08:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/10/05 (17:10:46) | ===> btop++ v.1.3.2
2024/10/05 (17:10:46) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/10/06 (20:30:21) | ===> btop++ v.1.3.2
2024/10/06 (20:30:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/10/22 (18:30:25) | ===> btop++ v.1.3.2
2024/10/22 (18:30:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/10/22 (18:47:56) | ===> btop++ v.1.3.2
2024/10/22 (18:47:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/10/22 (19:56:14) | ===> btop++ v.1.3.2
2024/10/22 (19:56:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/10/24 (17:39:08) | ===> btop++ v.1.3.2
2024/10/24 (17:39:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/10/24 (18:11:17) | ===> btop++ v.1.3.2
2024/10/24 (18:11:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/10/25 (16:37:04) | ===> btop++ v.1.3.2
2024/10/25 (16:37:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/10/25 (16:39:34) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:39:40) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:39:46) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:39:52) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:39:58) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:40:04) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:40:10) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:40:16) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:40:22) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:40:28) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:40:34) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:40:40) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:40:46) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:40:52) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:40:58) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:41:04) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:41:10) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:41:16) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:41:22) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:41:28) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:41:34) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:41:40) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:41:46) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:41:52) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:41:58) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:42:04) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:42:10) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:42:16) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:42:22) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:42:28) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:42:34) | ERROR: Stall in Runner thread, restarting!
2024/10/25 (16:42:40) | ERROR: Stall in Runner thread, restarting!

2024/10/25 (16:51:14) | ===> btop++ v.1.3.2
2024/10/25 (16:51:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/10/26 (19:18:03) | ===> btop++ v.1.3.2
2024/10/26 (19:18:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/10/26 (19:19:03) | ===> btop++ v.1.3.2
2024/10/26 (19:19:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
